key,beta,se,specification,date
Full sample,0.24614,0.02519,To 2023,EV
Full sample with utility and charger,0.21444,0.0251,To 2023,EV
Full sample,0.18438,0.01087,To 2022,EV
Full sample with utility and charger,0.16489,0.01149,To 2022,EV
Full sample,0.2526,0.01088,To 2023,BEV
Full sample with utility and charger,0.27474,0.01095,To 2023,BEV
Full sample,0.18174,0.00693,To 2022,BEV
Full sample with utility and charger,0.20582,0.00703,To 2022,BEV
Full sample,0.04704,0.01722,To 2023,PHEV
Full sample with utility and charger,0.03299,0.00803,To 2023,PHEV
Full sample,0.04829,0.00475,To 2022,PHEV
Full sample with utility and charger,0.03994,0.00532,To 2022,PHEV
